landslide_category,landslide_trigger,landslide_size,longitude,latitude,landslide_region,landslide_trigger_encoded,landslide_category_encoded,landslide_size_encoded,landslide_region_encoded
landslide,downpour,medium,88.3143,26.8572,Rainfall-Related,12,8,4,12
landslide,downpour,medium,88.2788,26.8826,Rainfall-Related,12,8,4,12
landslide,downpour,medium,88.527,27.478,Rainfall-Related,12,8,4,12
landslide,downpour,medium,94.48214677,25.3098633,Rainfall-Related,12,8,4,12
landslide,rain,medium,74.3333,33.8778,Rainfall-Related,10,8,4,12
landslide,downpour,medium,78.7963,30.7666,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.5925,30.7652,Rainfall-Related,12,8,4,12
landslide,downpour,medium,79.0685,30.7331,Rainfall-Related,12,8,4,12
landslide,downpour,medium,78.4129,31.0188,Rainfall-Related,12,8,4,12
landslide,rain,medium,79.6367,29.7334,Rainfall-Related,10,8,4,12
landslide,rain,medium,79.3318,30.4043,Rainfall-Related,10,8,4,12
landslide,downpour,medium,77.1029,31.0226,Rainfall-Related,12,8,4,12
landslide,downpour,large,88.556,27.8385,Rainfall-Related,12,8,5,12
landslide,downpour,large,88.605,27.6558,Rainfall-Related,12,8,5,12
landslide,rain,medium,78.3881,30.4954,Rainfall-Related,10,8,4,12
landslide,rain,medium,78.6695,30.885,Rainfall-Related,10,8,4,12
landslide,rain,medium,80.417,29.7986,Rainfall-Related,10,8,4,12
landslide,downpour,medium,77.5947,10.9628,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.5947,10.9628,Rainfall-Related,12,8,4,12
mudslide,rain,medium,93.9413,25.7658,Rainfall-Related,10,7,4,12
mudslide,rain,medium,94.0885,25.7131,Rainfall-Related,10,7,4,12
landslide,continuous_rain,medium,74.4725,34.1587,Rainfall-Related,11,8,4,12
landslide,rain,medium,73.8277,15.4014,Rainfall-Related,10,8,4,12
landslide,rain,medium,75.2565,12.6771,Rainfall-Related,10,8,4,12
landslide,continuous_rain,medium,80.1327,29.4085,Rainfall-Related,11,8,4,12
landslide,rain,medium,79.0765,30.4619,Rainfall-Related,10,8,4,12
landslide,downpour,large,78.3221,30.1281,Rainfall-Related,12,8,5,12
landslide,downpour,medium,75.203,33.3893,Rainfall-Related,12,8,4,12
landslide,downpour,medium,75.2382,33.241,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.009,8.4557,Rainfall-Related,12,8,4,12
landslide,downpour,medium,94.1167,25.616,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.9798,31.5639,Rainfall-Related,12,8,4,12
landslide,downpour,medium,77.1213,31.0365,Rainfall-Related,12,8,4,12
mudslide,downpour,small,78.6149,30.819,Rainfall-Related,12,7,3,12
landslide,downpour,medium,88.255,27.0605,Rainfall-Related,12,8,4,12
mudslide,downpour,medium,94.1351,25.4769,Rainfall-Related,12,7,4,12
landslide,rain,medium,88.29184021,26.87324244,Rainfall-Related,10,8,4,12
landslide,downpour,medium,75.7627,33.334,Rainfall-Related,12,8,4,12
landslide,rain,medium,75.1921061,33.33875958,Rainfall-Related,10,8,4,12
landslide,downpour,small,73.3747,18.7624,Rainfall-Related,12,8,3,12
